#48 AU
x	y
-4.69015	10.17812
-4.38817	9.69799
-4.21373	9.43067
-4.09181	9.07931
-3.98741	8.69216
-3.90762	8.2197
-3.85433	8.10718
-3.78111	7.81398
-3.73992	7.93229
-3.69481	7.55972
-3.65654	7.6388
-3.61599	7.46428
-3.57235	7.53805
-3.54872	7.37812
-3.5125	7.51188
-3.48589	7.42619
-3.46412	7.56208
-3.43072	7.40732
-3.41094	7.5692
-3.3942	7.45786
-3.36752	7.51671
-3.34056	7.45699
-3.30232	7.34899
-3.26464	7.32482
-3.19714	7.26504
-3.12396	7.12309
-3.05938	7.069
-2.99059	7.0084
-2.95914	6.97292
-2.91624	6.91896
-2.88813	6.76175
-2.86038	6.88548
-2.81902	6.89014
-2.77368	6.89014
-2.73389	6.80169
-2.69331	6.757
-2.65631	6.723
-2.61604	6.6891
-2.58001	6.70981
